,Date,Market Cap (USD),Price (USD),Number of Coins
3101,7/1/17,40933352571.0,2492.6,16421950.000401188
3102,7/2/17,40016164520.0,2436.4,16424300.0
3103,7/3/17,41042283520.0,2498.56,16426375.0
3104,7/4/17,42072971057.0,2561.0,16428337.0
3105,7/5/17,42765544531.0,2602.87,16430150.000192096
3106,7/6/17,42856200092.0,2608.1,16431961.999923317
3107,7/7/17,42869111557.0,2608.59,16433825.000095837
3108,7/8/17,41422842687.0,2520.27,16435875.000297587
3109,7/9/17,42287500692.0,2572.61,16437586.999972789
3110,7/10/17,41515266566.0,2525.25,16440062.000198001
3111,7/11/17,39229368836.0,2385.89,16442237.00002934
3112,7/12/17,38361119626.0,2332.77,16444449.999785664
3113,7/13/17,39515734045.0,2402.7,16446387.00004162
3114,7/14/17,38827279394.0,2360.59,16448125.000105904
3115,7/15/17,36684887479.0,2230.12,16449737.000251109
3116,7/16/17,32771580869.0,1991.98,16451762.000120483
3117,7/17/17,31798579624.0,1932.62,16453612.000289762
3118,7/18/17,36754023388.0,2233.52,16455650.0
3119,7/19/17,38232147177.0,2323.08,16457525.0
3120,7/20/17,37361367950.0,2269.89,16459550.000220276
3121,7/21/17,46724449316.0,2838.41,16461487.000116263
3122,7/22/17,43934923289.0,2668.63,16463474.999906318
3123,7/23/17,46237155260.0,2808.1,16465637.000106834
3124,7/24/17,45001726487.0,2732.7,16467861.999853626
3125,7/25/17,45415128813.0,2757.5,16469675.000181323
3126,7/26/17,42459833933.0,2577.77,16471537.000197846
3127,7/27/17,41821406182.0,2538.71,16473487.000090597
3128,7/28/17,44149387826.0,2679.73,16475312.000089562
3129,7/29/17,46252110646.0,2807.02,16477300.0
3130,7/30/17,44895563359.0,2724.39,16479125.000091765
3131,7/31/17,45540820278.0,2763.24,16480950.000000002
3132,8/1/17,47327135423.0,2871.3,16482825.000174137
3133,8/2/17,44955988090.0,2727.13,16484725.000275014
3134,8/3/17,44670957723.0,2709.56,16486425.0
3135,8/4/17,46282626691.0,2806.93,16488700.000000002
3136,8/5/17,47784561339.0,2897.63,16490912.000151848
3137,8/6/17,53726660658.0,3257.61,16492662.000055255
3138,8/7/17,52993440669.0,3212.78,16494575.000155628
3139,8/8/17,55597127439.0,3370.22,16496586.999958461
