,Date,Market Cap (USD),Price (USD),Number of Coins
702,7/1/17,27267142736.0,293.35,92950887.11777739
703,7/2/17,25579639032.0,275.12,92976297.7318988
704,7/3/17,26823212355.0,288.41,93003752.83450642
705,7/4/17,26252922256.0,282.19,93032787.32768703
706,7/5/17,25414659667.0,273.1,93059903.57744415
707,7/6/17,25022065231.0,268.86,93067266.35051699
708,7/7/17,25167898701.0,270.35,93093762.53375253
709,7/8/17,22901877186.0,245.89,93138709.12196511
710,7/9/17,23460964056.0,251.82,93165610.57898499
711,7/10/17,22646074027.0,243.01,93189885.30101642
712,7/11/17,19717265092.0,211.52,93217024.82980332
713,7/12/17,18382400447.0,197.15,93240681.9528278
714,7/13/17,21619574494.0,231.81,93264201.2596523
715,7/14/17,19546542928.0,209.53,93287562.29656851
716,7/15/17,18635644723.0,199.71,93313528.23093486
717,7/16/17,15827081043.0,169.57,93336563.32488059
718,7/17/17,14936703212.0,159.99,93360230.08938058
719,7/18/17,18212421094.0,195.03,93382664.68748398
720,7/19/17,21945314495.0,234.94,93408165.8934196
721,7/20/17,19193068584.0,205.42,93433300.47707137
722,7/21/17,21126937476.0,226.06,93457212.58073078
723,7/22/17,20365062137.0,217.86,93477747.8059304
724,7/23/17,21423704024.0,229.12,93504294.79748604
725,7/24/17,21164529968.0,226.29,93528348.43784525
726,7/25/17,20990401812.0,224.37,93552622.06177296
727,7/26/17,19379169255.0,207.09,93578488.84542952
728,7/27/17,19175012557.0,204.86,93600568.95928927
729,7/28/17,19129913989.0,204.32,93627221.9508614
730,7/29/17,18106335157.0,193.34,93650228.39040034
731,7/30/17,19366257822.0,206.74,93674459.81425945
732,7/31/17,18496358461.0,197.4,93699890.88652483
733,8/1/17,19183640355.0,204.69,93720457.05701305
734,8/2/17,21280571598.0,227.01,93742881.80256377
735,8/3/17,20644915659.0,220.18,93763809.8782814
736,8/4/17,21130761061.0,225.31,93785278.3320758
737,8/5/17,20904310149.0,222.85,93804398.24545659
738,8/6/17,24058703462.0,256.42,93825378.13743077
739,8/7/17,24516943166.0,261.24,93848350.81151432
