,Date,Market Cap (USD),Price (USD),Number of Coins
2094,7/1/17,2092623686.0,40.4,51797615.99009901
2095,7/2/17,2018032256.0,38.95,51810840.97560975
2096,7/3/17,2149610752.0,41.48,51822824.30086789
2097,7/4/17,2414011689.0,46.56,51847330.09020618
2098,7/5/17,2866509175.0,55.27,51863744.79826307
2099,7/6/17,2759775895.0,53.2,51875486.7481203
2100,7/7/17,2651371753.0,51.1,51885944.28571428
2101,7/8/17,2420790393.0,46.64,51903739.12950257
2102,7/9/17,2718522349.0,52.36,51919830.95874713
2103,7/10/17,2591835961.0,49.91,51930193.56842317
2104,7/11/17,2403690603.0,46.27,51949224.184136584
2105,7/12/17,2351904737.0,45.26,51964311.4670791
2106,7/13/17,2532260448.0,48.72,51975789.16256158
2107,7/14/17,2410525857.0,46.36,51995812.27351165
2108,7/15/17,2226624890.0,42.81,52011793.739780426
2109,7/16/17,2024855622.0,38.92,52026095.11819116
2110,7/17/17,2143501506.0,41.19,52039366.49672251
2111,7/18/17,2218752559.0,42.62,52058952.58094791
2112,7/19/17,2309685460.0,44.35,52078589.853438556
2113,7/20/17,2133366054.0,40.96,52084132.177734375
2114,7/21/17,2348549177.0,45.07,52108923.385844246
2115,7/22/17,2385500559.0,45.77,52119304.32597771
2116,7/23/17,2430945736.0,46.63,52132655.7152048
2117,7/24/17,2302803698.0,44.16,52146822.87137681
2118,7/25/17,2320424316.0,44.48,52167812.859712236
2119,7/26/17,2206708553.0,42.29,52180386.68716009
2120,7/27/17,2210491480.0,42.35,52195784.651711926
2121,7/28/17,2204626925.0,42.22,52217596.51823781
2122,7/29/17,2118123987.0,40.56,52221991.78994083
2123,7/30/17,2151513646.0,41.18,52246567.41136474
2124,7/31/17,2108227384.0,40.34,52261462.17154189
2125,8/1/17,2248586080.0,43.02,52268388.656438865
2126,8/2/17,2252163155.0,43.07,52290762.82795449
2127,8/3/17,2206718958.0,42.19,52304312.82294383
2128,8/4/17,2243888832.0,42.89,52317296.15294941
2129,8/5/17,2275870432.0,43.49,52330890.595539205
2130,8/6/17,2452554835.0,46.85,52349089.327641405
2131,8/7/17,2364874800.0,45.17,52354987.82377684
2132,8/8/17,2404123978.0,45.9,52377428.71459695
2133,8/9/17,2545725127.0,48.59,52391955.690471284
2134,8/10/17,2518026950.0,48.05,52404306.97190427
2135,8/11/17,2432222558.0,46.4,52418589.612068966
2136,8/12/17,2467207273.0,47.05,52437986.67375133
2137,8/13/17,2442708881.0,46.57,52452413.16298046
2138,8/14/17,2404622741.0,45.83,52468312.04451233
2139,8/15/17,2403391518.0,45.81,52464342.239685655
2140,8/16/17,2275624267.0,43.37,52470008.46207056
2141,8/17/17,2319864526.0,44.18,52509382.661837935
2142,8/18/17,2305604403.0,43.9,52519462.48291572
2143,8/19/17,2471610950.0,47.05,52531582.35919235
2144,8/20/17,2384624565.0,45.38,52547919.017188184
2145,8/21/17,2427608836.0,46.19,52557021.77960598
2146,8/22/17,2518313496.0,47.9,52574394.48851775
2147,8/23/17,2456531720.0,46.71,52591130.80710769
2148,8/24/17,2778536432.0,52.82,52603870.35213934
2149,8/25/17,2639991410.0,50.17,52620917.081921466
2150,8/26/17,2693551727.0,51.17,52639275.4934532
2151,8/27/17,2727570399.0,51.8,52655799.20849421
2152,8/28/17,3231877606.0,61.36,52670756.29074316
2153,8/29/17,3287304454.0,62.39,52689604.96874499
2154,8/30/17,3329100907.0,63.16,52709007.393920206
2155,8/31/17,3382583960.0,64.16,52721071.6957606
2156,9/1/17,3737158064.0,70.86,52740023.482924074
2157,9/2/17,4528217262.0,85.83,52757978.11953863
2158,9/3/17,4167922105.0,78.98,52771867.62471511
2159,9/4/17,4049769712.0,76.73,52779482.75772188
2160,9/5/17,3445279101.0,65.25,52801212.27586207
2161,9/6/17,3791200113.0,71.78,52816942.22624686
2162,9/7/17,4220260257.0,79.88,52832501.96544818
2163,9/8/17,4146092249.0,78.45,52850124.270235814
2164,9/9/17,3552733145.0,67.21,52860186.653771766
2165,9/10/17,3479310620.0,65.8,52877061.09422493
2166,9/11/17,3260596202.0,61.65,52888827.28304947
2167,9/12/17,3504510323.0,66.24,52906254.87620773
2168,9/13/17,3403669236.0,64.32,52917743.097014934
2169,9/14/17,3263187407.0,61.64,52939445.279039584
2170,9/15/17,2207529813.0,41.69,52951062.91676661
2171,9/16/17,2549041408.0,48.13,52961591.68917515
2172,9/17/17,2555169978.0,48.23,52978850.88119428
2173,9/18/17,2571571577.0,48.53,52989317.47372759
2174,9/19/17,2951195485.0,55.68,53002792.474856324
2175,9/20/17,2796648060.0,52.74,53027077.36063708
2176,9/21/17,2739712063.0,51.66,53033528.12620984
2177,9/22/17,2474954561.0,46.65,53053688.33869239
2178,9/23/17,2555852680.0,48.16,53070030.73089702
2179,9/24/17,2614269407.0,49.25,53081612.3248731
2180,9/25/17,2528552252.0,47.62,53098535.32129358
2181,9/26/17,2745253849.0,51.69,53109960.32114529
2182,9/27/17,2740423927.0,51.58,53129583.695230715
2183,9/28/17,2986835914.0,56.21,53137091.51396549
2184,9/29/17,2876485597.0,54.11,53159962.98281279
2185,9/30/17,2798605342.0,52.63,53175096.750902526
2186,10/1/17,2932991749.0,55.14,53191725.58940878
2187,10/2/17,2902017485.0,54.55,53199220.6232814
2188,10/3/17,2841285034.0,53.39,53217550.73983892
2189,10/4/17,2783005009.0,52.28,53232689.53710788
2190,10/5/17,2736864554.0,51.4,53246392.101167314
2191,10/6/17,2750428226.0,51.64,53261584.54686289
2192,10/7/17,2778014523.0,52.14,53279910.29919448
2193,10/8/17,2797360841.0,52.49,53293214.726614594
