,Date,Market Cap (USD),Price (USD),Number of Coins
16,9/13/17,0.0,0.0020510000000000003,0.0
17,9/14/17,0.0,0.002006,0.0
18,9/15/17,0.0,0.001419,0.0
19,9/16/17,0.0,0.0018149999999999998,0.0
20,9/17/17,0.0,0.001836,0.0
21,9/18/17,0.0,0.003324,0.0
22,9/19/17,0.0,0.003273,0.0
23,9/20/17,0.0,0.002306,0.0
24,9/21/17,0.0,0.0026379999999999997,0.0
25,9/22/17,0.0,0.002079,0.0
26,9/23/17,0.0,0.001934,0.0
27,9/24/17,0.0,0.002346,0.0
28,9/25/17,0.0,0.002251,0.0
29,9/26/17,0.0,0.001777,0.0
30,9/27/17,0.0,0.001736,0.0
31,9/28/17,25802729.09,0.0025629999999999997,10067393324.22942
32,9/29/17,29202481.28,0.0029010000000000004,10066349975.870388
33,9/30/17,19959147.59,0.001983,10065127377.710539
34,10/1/17,22757585.31,0.002261,10065274352.056612
35,10/2/17,73920263.72,0.001848,40000142705.6277
36,10/3/17,109897989.0,0.002748,39991990174.672485
37,10/4/17,98767293.05,0.0024690000000000003,40002953847.71162
38,10/5/17,130768664.8,0.0032689999999999998,40002650596.512695
39,10/6/17,132819604.0,0.003321,39993858476.36254
40,10/7/17,195036872.5,0.002995,65120825542.57095
41,10/8/17,167018655.0,0.002565,65114485380.11696
42,10/9/17,167156335.9,0.0025670000000000003,65117388352.162056
43,10/10/17,142983667.3,0.002186,65408813952.42452
44,10/11/17,149684912.5,0.0022890000000000002,65393146570.55482
45,10/12/17,161573128.4,0.002471,65387749251.315254
46,10/13/17,153333130.9,0.002345,65387262643.92325
47,10/14/17,138231748.2,0.002114,65388717218.54304
48,10/15/17,155482779.6,0.002378,65383843397.813286
49,10/16/17,149588193.6,0.002287,65408042675.99475
50,10/17/17,140969861.5,0.002156,65384907931.35436
51,10/18/17,127051568.0,0.001943,65389381369.01698
52,10/19/17,136989613.4,0.002094,65420063705.82617
53,10/20/17,125367084.5,0.001916,65431672494.78079
54,10/21/17,127798908.0,0.001953,65437228878.64823
55,10/22/17,150871259.7,0.002306,65425524588.03122
56,10/23/17,168461747.6,0.002575,65422037902.91262
57,10/24/17,158686273.8,0.002425,65437638680.41238
58,10/25/17,173752068.9,0.002656,65418700640.06024
59,10/26/17,198164555.8,0.003029,65422435061.07626
60,10/27/17,185826420.2,0.0028399999999999996,65431838098.59155
61,10/28/17,200159522.5,0.003059,65432991990.84668
62,10/29/17,195523248.1,0.0029879999999999998,65436160676.03748
