,Date,BTC,ETH,LTC,BCH,EOS,BNB,XLM,TRX,ADA,NEO
0,2017-07-02,2536.46,283.99,41.26,0.0,3.0,0.0,0.02523,0.0,0.0,8.142
1,2017-07-03,2572.47,276.41,45.34,0.0,4.2,0.0,0.02605,0.0,0.0,8.24
2,2017-07-04,2617.32,269.05,54.51,0.0,3.24,0.0,0.02579,0.0,0.0,7.737
3,2017-07-05,2627.86,266.0,52.92,0.0,2.86,0.0,0.02558,0.0,0.0,7.926
4,2017-07-06,2614.24,265.88,51.04,0.0,3.23,0.0,0.0253,0.0,0.0,7.84
5,2017-07-07,2513.88,240.94,46.1,0.0,2.65,0.0,0.0203,0.0,0.0,6.78
6,2017-07-08,2564.86,245.67,51.22,0.0,2.37,0.0,0.02156,0.0,0.0,7.394
7,2017-07-09,2511.43,237.72,48.63,0.0,2.22,0.0,0.01923,0.0,0.0,6.844
8,2017-07-10,2344.02,205.76,45.0,0.0,1.7,0.0,0.01489,0.0,0.0,5.656
9,2017-07-11,2324.29,190.55,43.98,0.0,1.53,0.0,0.01432,0.0,0.0,5.276
10,2017-07-12,2403.09,224.15,47.14,0.0,1.96,0.0,0.01784,0.0,0.0,6.558
11,2017-07-13,2362.44,205.41,45.69,0.0,1.71,0.0,0.01714,0.0,0.0,6.26
12,2017-07-14,2234.17,197.14,42.46,0.0,1.51,0.0,0.0161,0.0,0.0,5.559
13,2017-07-15,1975.08,169.1,38.41,0.0,1.29,0.0,0.01758,0.0,0.0,4.942
14,2017-07-16,1914.09,155.42,40.7,0.0,1.22,0.0,0.01565,0.0,0.0,4.942
15,2017-07-17,2233.39,189.97,42.17,0.0,1.51,0.0,0.0186,0.0,0.0,5.874
16,2017-07-18,2320.23,227.09,43.35,0.0,1.67,0.0,0.01853,0.0,0.0,6.005
17,2017-07-19,2282.58,194.41,40.11,0.0,1.45,0.0,0.0171,0.0,0.0,5.779
18,2017-07-20,2866.02,226.33,44.35,0.0,1.71,0.0,0.01897,0.0,0.0,7.337
19,2017-07-21,2675.08,216.33,45.2,0.0,1.79,0.0,0.01898,0.0,0.0,7.324
20,2017-07-22,2836.53,230.47,46.47,0.0,2.03,0.0,0.02312,0.0,0.0,8.836
21,2017-07-23,2756.61,228.32,44.67,0.0,1.91,0.0,0.0222,0.0,0.0,8.849
22,2017-07-24,2763.42,225.48,44.77,0.0,1.9,0.0,0.02274,0.0,0.0,8.506
23,2017-07-25,2582.58,203.59,42.3,0.0,1.67,0.0,0.01861,0.0,0.0,7.332
24,2017-07-26,2559.21,202.88,42.03,0.0,1.66,0.0,0.01891,0.0,0.0,7.248
25,2017-07-27,2691.88,202.93,41.89,0.0,1.91,0.0,0.01848,0.0,0.0,7.86
26,2017-07-28,2806.75,191.21,40.43,0.0,1.8,0.0,0.01708,0.0,0.0,7.076
27,2017-07-29,2733.5,206.14,41.07,0.0,1.81,0.0,0.01747,0.0,0.0,7.326
28,2017-07-30,2766.49,196.78,40.61,0.0,1.79,0.0,0.01603,0.0,0.0,7.212
29,2017-07-31,2883.27,201.33,42.38,0.0,1.72,0.0,0.01605,0.0,0.0,7.459
30,2017-08-01,2746.99,225.9,43.16,441.72,1.77,0.0,0.01799,0.0,0.0,7.832
31,2017-08-02,2720.53,218.12,41.92,670.61,1.76,0.0,0.0184,0.0,0.0,8.205
32,2017-08-03,2809.99,224.39,42.75,405.76,1.78,0.0,0.01889,0.0,0.0,11.02
33,2017-08-04,2878.49,220.6,43.31,217.27,1.78,0.0,0.02245,0.0,0.0,10.37
34,2017-08-05,3262.8,253.09,46.24,203.5,1.86,0.0,0.02381,0.0,0.0,14.23
35,2017-08-06,3232.03,264.56,45.56,216.9,1.76,0.0,0.02283,0.0,0.0,15.92
36,2017-08-07,3401.91,269.94,46.11,322.6,1.83,0.0,0.0223,0.0,0.0,19.54
37,2017-08-08,3429.38,296.51,49.13,343.43,1.86,0.0,0.02378,0.0,0.0,18.42
38,2017-08-09,3348.79,295.28,47.78,302.63,1.82,0.0,0.023,0.0,0.0,22.57
39,2017-08-10,3425.67,298.28,46.97,275.66,1.84,0.0,0.02207,0.0,0.0,37.92
40,2017-08-11,3654.37,309.32,47.11,327.65,1.76,0.0,0.02166,0.0,0.0,34.26
41,2017-08-12,3871.62,308.02,46.27,316.2,1.65,0.0,0.02005,0.0,0.0,37.86
42,2017-08-13,4062.6,296.62,45.49,289.5,1.59,0.0,0.01827,0.0,0.0,48.55
43,2017-08-14,4327.94,299.16,45.7,297.29,1.61,1.586,0.01776,0.0,0.0,48.13
44,2017-08-15,4161.66,286.52,43.17,297.6,1.62,1.43,0.01738,0.0,0.0,47.44
45,2017-08-16,4387.4,301.38,43.97,300.05,1.59,2.26,0.01774,0.0,0.0,45.59
46,2017-08-17,4278.92,300.3,43.83,446.29,1.52,1.934,0.01728,0.0,0.0,40.64
47,2017-08-18,4105.37,292.62,46.74,689.83,1.4,0.0,0.01675,0.0,0.0,39.32
48,2017-08-19,4150.45,293.02,45.19,738.54,1.39,0.0,0.01649,0.0,0.0,39.72
49,2017-08-20,4066.6,298.2,45.81,719.27,1.36,0.0,0.0177,0.0,0.0,37.92
50,2017-08-21,4005.1,321.85,48.09,605.22,1.33,0.0,0.01955,0.0,0.0,35.49
51,2017-08-22,4089.7,313.37,46.4,684.6,1.27,0.0,0.02153,0.0,0.0,35.96
52,2017-08-23,4141.09,317.4,53.44,676.65,1.42,0.0,0.02011,0.0,0.0,39.97
53,2017-08-24,4318.35,325.28,50.36,617.52,1.37,2.41,0.01908,0.0,0.0,42.26
54,2017-08-25,4364.41,330.06,51.09,631.97,1.37,2.571,0.02059,0.0,0.0,40.24
55,2017-08-26,4352.3,332.86,51.58,621.51,1.36,2.457,0.02125,0.0,0.0,38.69
56,2017-08-27,4345.75,347.88,61.08,619.7,1.34,1.931,0.0199,0.0,0.0,39.94
57,2017-08-28,4390.31,347.66,62.36,591.81,1.33,1.877,0.02061,0.0,0.0,38.71
58,2017-08-29,4597.31,372.35,63.76,547.08,1.32,2.085,0.02005,0.0,0.0,33.56
59,2017-08-30,4583.02,383.86,65.97,579.29,1.25,2.265,0.02115,0.0,0.0,33.32
60,2017-08-31,4735.11,388.33,73.03,594.26,1.34,2.097,0.02249,0.0,0.0,33.38
61,2017-09-01,4921.85,391.42,87.88,631.47,1.32,2.349,0.02412,0.0,0.0,32.04
62,2017-09-02,4573.8,351.03,79.18,577.67,1.24,2.029,0.0204,0.0,0.0,31.97
63,2017-09-03,4612.92,352.45,79.04,610.75,1.3,1.824,0.02138,0.0,0.0,31.03
64,2017-09-04,4267.45,303.7,68.89,525.32,0.9142,1.347,0.01762,0.0135,0.0,23.08
65,2017-09-05,4409.08,317.94,73.73,546.74,0.923,1.017,0.01868,0.001908,0.0,23.5
66,2017-09-06,4618.71,338.92,81.44,647.64,0.9106,0.9829,0.02038,0.002034,0.0,21.25
67,2017-09-07,4635.6,335.37,80.25,669.84,0.9828,1.38,0.02029,0.001811,0.0,33.53
68,2017-09-08,4326.45,306.72,73.19,605.66,0.8421,1.015,0.01829,0.002172,0.0,25.96
69,2017-09-09,4335.13,303.79,71.09,587.84,0.8174,0.9594,0.01789,0.002825,0.0,22.49
70,2017-09-10,4245.89,299.21,67.08,558.76,0.745,0.9425,0.01669,0.002094,0.0,23.76
71,2017-09-11,4217.9,297.95,68.13,555.92,0.735,1.013,0.01722,0.001999,0.0,21.92
72,2017-09-12,4158.92,294.1,65.89,536.92,0.859,1.046,0.01642,0.002059,0.0,20.96
73,2017-09-13,3870.29,275.84,61.78,506.23,0.7272,0.9359,0.01527,0.001953,0.0,20.1
74,2017-09-14,3243.08,223.14,45.2,386.49,0.5806,0.6699,0.01131,0.001383,0.0,15.78
75,2017-09-15,3713.76,259.57,52.0,428.88,0.6511,0.8117,0.01229,0.001817,0.0,18.72
76,2017-09-16,3698.92,254.49,52.1,443.21,0.624,0.8044,0.01188,0.001832,0.0,20.63
77,2017-09-17,3689.61,258.4,51.0,440.54,0.6233,0.7842,0.01123,0.003346,0.0,19.8
78,2017-09-18,4100.28,297.53,56.16,486.03,0.7049,0.8974,0.01351,0.003273,0.0,21.07
79,2017-09-19,3907.96,283.0,52.8,531.09,0.6493,0.8009,0.01189,0.002578,0.0,19.86
80,2017-09-20,3882.16,283.56,51.56,478.28,0.6166,0.7463,0.0123,0.002722,0.0,19.69
81,2017-09-21,3617.27,257.77,46.46,416.13,0.5671,0.6908,0.01057,0.002075,0.0,17.26
