,Date,BTC,ETH,LTC,BCH,EOS,BNB,XLM,TRX,ADA,NEO
0,2017-07-02,810428621.22,923939163.1,188749174.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2017-07-03,950798571.82,628074672.98,521853785.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017-07-04,979681432.8,532311719.39,866681573.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-07-05,929079797.89,628883924.55,633140558.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2017-07-06,707934074.47,457341367.49,276903882.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-07-07,869514590.46,531025098.03,422691148.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2017-07-08,725208214.52,591031718.7,539570188.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-07-09,476642968.64,288233782.27,319578488.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017-07-10,1073098637.97,769627088.33,300549377.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2017-07-11,1306972486.1,1196845278.37,335288617.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2017-07-12,1119543663.03,1069481675.1,319178269.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2017-07-13,847892260.56,666779601.48,199504632.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2017-07-14,897201697.32,574913090.23,261387031.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2017-07-15,1042453939.27,623802018.66,269799147.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2017-07-16,1199271768.78,1272110683.62,340202566.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2017-07-17,1281354916.17,1397749063.37,302846053.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2017-07-18,1577354559.37,2190064702.56,325280909.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2017-07-19,1294969240.83,1744752177.65,192562534.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2017-07-20,2424784728.26,1789506145.62,290432636.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2017-07-21,1589741031.74,851949527.1,260368666.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2017-07-22,1278968996.78,559591659.55,122930444.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2017-07-23,1103492870.48,506212944.22,166958495.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2017-07-24,853411053.67,329153802.52,116051149.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2017-07-25,1521635733.62,911973924.06,164072624.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2017-07-26,1024810359.51,630673234.9,114087739.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2017-07-27,847090219.98,342938028.57,71256567.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2017-07-28,1415485817.51,485391458.03,112035636.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2017-07-29,825701538.59,740738290.21,88460433.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2017-07-30,741445878.3,511412705.11,67842302.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2017-07-31,918785355.48,497101005.45,216622900.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2017-08-01,1374735183.58,1268614372.4,191718008.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2017-08-02,1045911920.91,546166991.91,93076051.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2017-08-03,862676118.67,484574401.73,84739575.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2017-08-04,1017019681.61,471284229.44,102516816.87,6931922.05,0.0,0.0,0.0,0.0,0.0,0.0
34,2017-08-05,2014665421.93,1106535812.06,220688874.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2017-08-06,1119674156.76,1142789893.88,129273216.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2017-08-07,1455892765.98,791004697.04,93492855.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2017-08-08,1712264605.29,1169013467.34,183298714.9,14219478.35,0.0,0.0,0.0,0.0,0.0,0.0
38,2017-08-09,1471128838.55,1938655754.6,227792197.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2017-08-10,1460228252.37,910298356.14,109102862.08,3988027.99,0.0,0.0,0.0,0.0,0.0,0.0
40,2017-08-11,1967283130.85,796456456.87,121333087.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2017-08-12,2271316613.66,882611275.59,123092582.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2017-08-13,3173843035.94,1144972389.49,218499953.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2017-08-14,2490455857.63,709314655.92,103058422.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2017-08-15,3356935079.09,892611481.04,189257564.52,7460940.81,0.0,0.0,0.0,0.0,0.0,0.0
45,2017-08-16,2326909361.32,782777663.88,107802849.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2017-08-17,2545365368.63,735303476.5,93662734.71,92051507.39,0.0,0.0,0.0,0.0,0.0,0.0
47,2017-08-18,2786713907.29,739952463.55,263207176.27,647451293.05,0.0,0.0,0.0,0.0,0.0,0.0
48,2017-08-19,2811992754.32,705335815.4,133863426.24,324926486.67,0.0,0.0,0.0,0.0,0.0,0.0
49,2017-08-20,1640721415.82,471585668.29,121246166.99,192582016.87,0.0,0.0,0.0,0.0,0.0,0.0
50,2017-08-21,11937314254.79,1779789702.28,184743047.45,118670992.85,0.0,0.0,0.0,0.0,0.0,0.0
51,2017-08-22,2854619392.86,1014011137.5,143214177.92,73106291.19,0.0,0.0,0.0,0.0,0.0,0.0
52,2017-08-23,2273567527.72,601952693.61,401690989.18,81485925.78,0.0,0.0,0.0,0.0,0.0,0.0
53,2017-08-24,1908566553.48,521424050.49,343665952.55,56450766.71,0.0,0.0,0.0,0.0,0.0,0.0
54,2017-08-25,1653102731.2,572765746.78,145414852.64,91731649.47,0.0,0.0,0.0,0.0,0.0,0.0
55,2017-08-26,1455494425.08,391205353.9,111818290.57,32367619.87,0.0,0.0,0.0,0.0,0.0,0.0
56,2017-08-27,1408143290.36,479161004.36,767054730.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2017-08-28,1914971079.3,661584506.71,494523069.6,23738186.65,0.0,0.0,0.0,0.0,0.0,0.0
58,2017-08-29,2396992104.52,991048598.91,269107356.62,5418159.7,0.0,0.0,0.0,0.0,0.0,0.0
59,2017-08-30,1880989237.44,1029257839.71,220315854.04,78704294.12,0.0,0.0,0.0,0.0,0.0,0.0
60,2017-08-31,1823347576.57,478502279.45,561952579.61,14250881.76,0.0,0.0,0.0,0.0,0.0,0.0
61,2017-09-01,2525926297.96,676944358.41,1391886629.28,10329880.34,0.0,0.0,0.0,0.0,0.0,0.0
62,2017-09-02,2708521025.36,1170140455.64,1171437219.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2017-09-03,1964463969.61,789202709.82,622947722.03,28925776.15,0.0,0.0,0.0,0.0,0.0,0.0
64,2017-09-04,2867145344.01,1444372265.04,847369324.49,28722242.92,0.0,0.0,0.0,0.0,0.0,0.0
65,2017-09-05,2608176371.31,1189094573.36,906110912.62,27996158.91,0.0,0.0,0.0,0.0,0.0,0.0
66,2017-09-06,2044495075.05,825379226.8,765011994.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2017-09-07,1723917105.76,595052502.48,484434755.78,8603070.97,0.0,0.0,0.0,0.0,0.0,0.0
68,2017-09-08,2735354488.41,885935213.7,871029598.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2017-09-09,1460125929.77,432586842.83,461654539.75,40240063.9,0.0,0.0,0.0,0.0,0.0,0.0
70,2017-09-10,1761651647.63,583980262.57,525035208.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2017-09-11,1485815675.33,471241671.9,370989401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2017-09-12,1805289645.33,606178102.77,441602942.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2017-09-13,2176896394.98,779900628.49,432734841.43,15597462.21,0.0,0.0,0.0,0.0,0.0,0.0
74,2017-09-14,2710166067.93,984238976.4,633618571.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2017-09-15,4076842653.99,1635304860.13,1258466699.06,86210556.16,0.0,0.0,0.0,0.0,0.0,0.0
76,2017-09-16,1866248806.05,643537953.64,487991746.58,39611845.25,0.0,0.0,0.0,0.0,0.0,0.0
77,2017-09-17,1373926640.89,385369839.45,242409148.01,17752890.58,0.0,0.0,0.0,0.0,0.0,0.0
78,2017-09-18,1974229220.2,983502919.47,379728816.93,25304426.99,0.0,0.0,0.0,0.0,0.0,0.0
79,2017-09-19,1572541336.66,571251133.35,266870328.72,53848796.91,0.0,0.0,0.0,0.0,0.0,0.0
80,2017-09-20,1243631865.13,367472803.87,152441863.72,57126062.04,0.0,0.0,0.0,0.0,0.0,0.0
81,2017-09-21,1466779219.54,550243304.93,224572673.53,5921362.47,0.0,0.0,0.0,0.0,0.0,0.0
82,2017-09-22,1231256791.66,391984985.48,207273208.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2017-09-23,1001249067.6,408831225.51,141261705.43,31233512.83,0.0,0.0,0.0,0.0,0.0,0.0
84,2017-09-24,835636766.88,517931868.83,86922937.96,4679425.44,0.0,0.0,0.0,0.0,0.0,0.0
85,2017-09-25,1332443236.61,444041991.74,199440927.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2017-09-26,1045218989.54,300574207.67,169478270.54,2074186.27,0.0,0.0,0.0,0.0,0.0,0.0
87,2017-09-27,1715003548.3,493558890.65,221467998.55,15349972.87,0.0,0.0,0.0,0.0,0.0,0.0
88,2017-09-28,1742624711.43,456317467.48,196518623.83,5179739.71,0.0,0.0,0.0,0.0,0.0,0.0
89,2017-09-29,1397886277.39,490498236.76,175616582.4,3590977.89,0.0,0.0,0.0,0.0,0.0,0.0
90,2017-09-30,1247169021.71,293403793.43,120977683.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2017-10-01,1245920714.1,279774628.21,89897844.5,11617200.72,0.0,0.0,0.0,0.0,0.0,0.0
92,2017-10-02,1424628148.27,307853980.5,84151565.9,6225315.03,0.0,0.0,0.0,0.0,0.0,0.0
93,2017-10-03,1283265395.26,286124226.27,76469013.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2017-10-04,1087883150.71,232004742.65,67022906.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2017-10-05,1168782020.99,215397207.14,60131238.67,6872904.6,0.0,0.0,0.0,0.0,0.0,0.0
96,2017-10-06,1042520133.77,271875209.62,50021944.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2017-10-07,897343913.92,309060138.0,43964776.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2017-10-08,1392430826.36,255948289.31,91211355.53,8206381.8,0.0,0.0,0.0,0.0,0.0,0.0
99,2017-10-09,2006109089.64,502859344.12,133724429.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
