,date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,realizedcap_usd,generatedcoins,fees,activeaddresses,averagedifficulty,paymentcount,mediantxvalue_usd,medianfee,blocksize,blockcount
1576,4/28/13,68798683.45,31537136.8,41702.0,1500656272.0,135.3,0.0,503515007.4,4425.0,32.79194181,117984.0,8974296.015,130171.0,49.980090600000004,0.0005,21597536.0,177.0
1577,4/29/13,113812845.4,48216524.64,51602.0,1491702547.0,134.44,0.0,511015444.9,4349.9988,45.72411389,86925.0,8974296.015,112426.0,62.42589111,0.0005,25676453.0,174.0
1578,4/30/13,84266323.85,56867903.11,47450.0,1598310000.0,144.0,0.0,514278507.5,3725.0,45.74865143,76871.0,9854414.319,98258.0,26.94214512,0.0005,27042465.0,149.0
1579,5/1/13,120682532.5,82087357.75,55176.0,1543334375.0,139.0,0.0,511047380.3,3775.0,40.88593753,83564.0,10076292.88,96129.0,38.67197952,0.0005,25727393.0,151.0
1580,5/2/13,93375328.63,58237355.01,55295.0,1292577379.0,116.38,0.0,508395558.4,3350.0,52.5540039,81920.0,10076292.88,101721.0,35.38234803,0.0005,26388234.0,134.0
1581,5/3/13,72731326.23,54656405.12,51275.0,1180429532.0,106.25,0.0,506957127.5,3425.0,45.45884469,82804.0,10076292.88,92650.0,30.81855625,0.0005,24999318.0,137.0
1582,5/4/13,38965697.54,23192896.0,50102.0,1090276043.0,98.1,0.0,508630983.8,3975.0,45.66787787,69959.0,10076292.88,119009.0,15.91291185,0.0005,25116891.0,159.0
1583,5/5/13,57083710.55,25552273.97,50167.0,1255227845.0,112.9,0.0,510989418.1,4125.0,36.56506628,72103.0,10076292.88,103009.0,22.4671,0.0005,25186659.0,165.0
1584,5/6/13,85671328.51,36663917.29,53174.0,1289952756.0,115.98,0.0,511900256.5,4150.0,52.94511009,85164.0,10076292.88,114382.0,25.2534852,0.0005,27088540.0,166.0
1585,5/7/13,96724507.3,37942017.64,56567.0,1248938400.0,112.25,0.0,512952975.6,4200.0,46.71463015,109067.0,10076292.88,132270.0,31.95027314,0.0005,28735146.0,168.0
1586,5/8/13,79890880.1,39328210.49,50274.0,1219862574.0,109.6,0.0,513631417.5,4125.0,52.00264132,102388.0,10076292.88,131131.0,35.14667706,0.0005,25837956.0,165.0
1587,5/9/13,64539698.31,40470140.65,66610.0,1260436720.0,113.2,0.0,514425129.4,4100.0,65.88905401,81894.0,10076292.88,113131.0,24.13603196,0.0005,31016605.0,164.0
1588,5/10/13,78832455.56,43036415.38,67709.0,1256467920.0,112.8,0.0,514566301.9,4300.0,64.27633127,84293.0,10076292.88,135760.0,24.05370211,0.0005,32790392.0,172.0
