,date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,mediantxvalue_usd,medianfee,averagedifficulty,paymentcount,blocksize,blockcount
8,8/7/15,5684487.227000001,5684487.227000001,2050.0,170219447.9,2.83,164329.0,27437.65625,37.31841351,1086.0,41.61171287,0.001320779,1470840000000.0,1977.0,3282693,5189
9,8/8/15,37899681.79,37899681.79,2881.0,168464386.9,2.79,674188.0,27943.4375,68.09997007,826.0,0.27899999999999997,0.001243194,1586120000000.0,1973.0,3508878,5256
10,8/9/15,823605.5177,823605.5177,1329.0,42655638.76,0.706136,532170.0,27178.28125,14.0989497,732.0,7.0613600000000005,0.001223011,1709480000000.0,1213.0,3167541,5123
11,8/10/15,1194050.488,1194050.488,2037.0,43153260.22,0.713989,405283.0,27817.34375,31.16514444,1001.0,0.359784483,0.001228262,1837700000000.0,1451.0,3316883,5255
12,8/11/15,1053129.873,1053129.873,4963.0,42729601.34,0.708087,1463100.0,28027.8125,11.31144859,2342.0,0.034006302999999995,0.001217965,2036390000000.0,3029.0,3653834,5280
13,8/12/15,797474.1891,797474.1891,2036.0,63986648.9,1.06,2150620.0,27370.9375,32.5869924,906.0,7.634961965,0.00124407,2207080000000.0,1479.0,3348157,5124
14,8/13/15,2182919.675,2182919.675,2842.0,73738128.0,1.22,4068680.0,28268.125,24.92916911,1274.0,9.94756377,0.0012100960000000001,2336980000000.0,2486.0,3519008,5286
15,8/14/15,4162001.561,4162001.561,3174.0,109462788.4,1.81,4637030.0,31106.71875,14.35483411,1594.0,18.75014337,0.001210111,2671250000000.0,3014.0,3832496,5809
16,8/15/15,13902410.53,13902410.53,2284.0,108962422.7,1.8,2554360.0,28512.65625,8.836593028,1313.0,18.0,0.001209761,3378030000000.0,2170.0,3435520,5382
17,8/16/15,2898479.711,2898479.711,2440.0,101550120.0,1.68,3550790.0,27094.53125,6.677237925,1202.0,12.00702942,0.001207801,3631630000000.0,2340.0,3287835,5132
18,8/17/15,5383055.467999999,5383055.467999999,2512.0,114938899.9,1.58,1942830.0,28118.90625,7.64281184,1249.0,11.69836028,0.001210228,3908020000000.0,2410.0,3393782,5347
19,8/18/15,2409105.869,2409105.869,2494.0,88274737.49,1.22,1485680.0,26162.8125,11.90607134,1294.0,7.82349247,0.001205693,4377690000000.0,2324.0,3208720,4948
20,8/19/15,1691424.304,1691424.304,3246.0,84840220.21,1.17,1486240.0,27282.03125,15.43095067,1350.0,6.212439645,0.0012140389999999999,4419570000000.0,3147.0,3392043,5192
21,8/20/15,592806.2045,592806.2045,2303.0,91054297.95,1.25,2843760.0,21057.03125,6.8555669429999995,1167.0,6.248437063,0.001184488,4469110000000.0,2184.0,2615975,4024
22,8/21/15,894127.677,894127.677,3919.0,107122247.8,1.48,2020970.0,26690.9375,7.855041725,1425.0,7.4,0.00105,4415250000000.0,3809.0,3396674,5088
23,8/22/15,874020.8587,874020.8587,3579.0,101654026.4,1.4,948310.0,27550.46875,42.54717183,1414.0,5.797294888,0.0011519619999999999,4828340000000.0,3455.0,3415807,5271
24,8/23/15,697311.4173,697311.4173,4190.0,100484803.2,1.38,1589300.0,26255.625,8.049767673,1570.0,5.135572132,0.00105,5138350000000.0,4025.0,3411809,5013
25,8/24/15,630283.1487,630283.1487,4432.0,98248452.8,1.35,924920.0,27333.28125,8.87628542,1436.0,4.0355447810000005,0.00105,5179120000000.0,4374.0,3486486,5184
