,date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,realizedcap_usd,generatedcoins,fees,activeaddresses,averagedifficulty,paymentcount,mediantxvalue_usd,medianfee,blocksize,blockcount
569,4/28/13,44319520.07,2556843.914,9174.0,73779042.16,4.3,0.0,23746208.99,31600.0,594.357571,17216.0,435.0557425,9658.0,174.6356076,0.1,4079010.0,632.0
570,4/29/13,36478096.6,2111820.413,9275.0,75216843.08,4.37,0.0,24124114.41,32500.0,634.4097411,18395.0,437.93782139999996,9542.0,181.67989,0.1,4977931.0,650.0
571,4/30/13,40391660.1,1969542.9719999998,9099.0,75742334.7,4.4,0.0,24536759.91,31350.0,792.1703735,17810.0,437.93782139999996,9301.0,167.86364650000002,0.1,5349282.0,627.0
572,5/1/13,76374202.8,4691921.756,8990.0,74064136.01,4.29,0.0,26039365.5,31699.9795,639.972367,16991.0,471.1227637,9326.0,177.1258735,0.1,4463820.0,634.0
573,5/2/13,11631506.34,2501720.016,8031.0,65379394.84,3.78,0.0,25972562.03,26150.0,528.8035945,15769.0,482.5125108,8269.0,155.4904201,0.1,4088911.0,523.0
574,5/3/13,4632241.488,1964663.757,6280.0,58761687.94,3.39,0.0,26153571.6,19900.0,375.72909060000006,12956.0,482.5125108,6519.0,105.126185,0.05,3382172.0,398.0
575,5/4/13,5725030.204,1648315.177,6168.0,52494635.07,3.03,0.0,26266712.63,20875.0,374.6704375,12377.0,482.5125108,6334.0,114.3115065,0.1,3223478.0,418.0
576,5/5/13,6579465.3379999995,3060323.0439999998,5948.0,60562859.51,3.49,0.0,26912496.69,22100.0,317.35296989999995,12245.0,436.42100039999997,6060.0,116.40232649999999,0.0,3165698.0,442.0
577,5/6/13,13489738.13,4020198.059,10636.0,62419512.16,3.59,0.0,28128893.69,31850.0,745.3336031,18244.0,396.5528163,10980.0,136.722623,0.1,4823264.0,637.0
578,5/7/13,9082297.718,2615555.687,8712.0,58748577.49,3.37,0.0,28251024.28,37925.0,450.4812114,16710.0,396.5528163,9013.0,118.23813500000001,0.00677266,4123225.0,759.0
579,5/8/13,6748147.052999999,1250363.07,9035.0,57239574.33,3.28,0.0,28373409.98,36500.0,496.3183591,16851.0,431.3694107,9773.0,124.4107213,0.1,4129160.0,730.0
580,5/9/13,9291190.987,1487343.8180000002,12776.0,59406121.23,3.4,0.0,28709790.62,37050.0,944.5557991000001,20459.0,469.79810139999995,13476.0,99.19820997,0.1,5806489.0,741.0
581,5/10/13,8136961.732000001,1538562.301,10503.0,59832541.01,3.41,0.0,28878319.79,37000.0,709.356414,18054.0,469.79810139999995,11231.0,101.5839,0.1,4884485.0,740.0
582,5/11/13,18682243.09,2499308.296,7000.0,60740571.64,3.46,0.0,29137057.79,31300.0,405.2496122,14207.0,558.7199744,7738.0,145.9496342,0.001,3874790.0,626.0
583,5/12/13,8487885.824,1254319.033,6924.0,59096255.41,3.36,0.0,29205895.48,30750.0,377.11730530000006,13924.0,596.8873537000001,7660.0,130.4352,0.00305107,3501445.0,615.0
584,5/13/13,7021996.489,1203602.5729999999,6596.0,57438495.59,3.26,0.0,29373881.99,28850.0,355.15999469999997,13620.0,596.8873537000001,7216.0,118.3157007,0.0,3522595.0,577.0
585,5/14/13,7571576.192000001,1952139.642,7218.0,57978731.57,3.28,0.0,29591315.12,29550.0,406.6741052,14370.0,599.8809217,7779.0,117.1084361,0.01,4357789.0,591.0
586,5/15/13,6523932.125,1544792.365,6500.0,49773625.39,2.82,0.0,29503421.52,27900.0,366.7363919,13301.0,605.5175912000001,7018.0,109.87601029999999,0.01,3315285.0,558.0
587,5/16/13,6475101.9,1441678.844,7434.0,51862886.44,2.93,0.0,29374402.28,28500.0,465.79798439999996,14608.0,605.5175912000001,8030.0,104.4251178,0.1,3809371.0,570.0
588,5/17/13,6079749.175,1029128.479,6638.0,51184775.5,2.89,0.0,29563275.58,26700.0,384.7812707,13148.0,605.5175912000001,7124.0,99.81296849,0.1,3405760.0,534.0
589,5/18/13,5818653.765,1175057.731,5660.0,56917975.93,3.2,0.0,29645715.87,27525.0,301.132068,11868.0,596.4191093,6249.0,110.3403453,0.00036759,3173088.0,551.0
590,5/19/13,5637138.598999999,1255563.523,5590.0,58760676.0,3.3,0.0,29749968.42,27150.0,275.62697119999996,11892.0,593.0467865,6163.0,128.2753496,0.01,2928165.0,543.0
591,5/20/13,5155162.313999999,1292105.933,6375.0,58999968.3,3.31,0.0,29868392.85,27400.0,367.0384186,13264.0,593.0467865,6967.0,100.77352629999999,0.01,3322274.0,548.0
592,5/21/13,6715033.989,1492287.917,6248.0,56855332.83,3.19,0.0,29867009.93,26900.0,361.0776901,12779.0,592.0730412,6938.0,119.77077309999999,0.01,3127223.0,538.0
593,5/22/13,6188331.018999999,1082361.539,5319.0,55230680.8,3.09,0.0,29942876.73,27900.0,279.2763635,11279.0,558.1217882,6100.0,136.09348,0.01,2606097.0,558.0
594,5/23/13,6864769.913,1050078.557,5939.0,55874706.42,3.12,0.0,30058255.47,30950.0,329.2023744,12400.0,558.1217882,6694.0,128.33184,0.01,3309004.0,619.0
