,Date,Market Cap (USD),Price (USD),Number of Coins
342,2017-07-01,1544252034.3483908,16.5420399864766,93353179.87448001
343,2017-07-02,1628663382.977806,17.440445579209598,93384275.96823001
344,2017-07-03,1611145671.670535,17.2470602053681,93415669.24948
345,2017-07-04,1629516423.0374866,17.4377229591935,93447775.65573001
346,2017-07-05,1625689035.6725235,17.3909193787061,93479188.78073001
347,2017-07-06,1634550846.8671184,17.4798649550527,93510496.28073001
348,2017-07-07,1508122723.0982585,16.1223931363141,93542113.15573002
349,2017-07-08,1517901984.6985471,16.2214815691199,93573572.68698
350,2017-07-09,1468613966.6363676,15.6894725310289,93605056.74948
351,2017-07-10,1307701757.2625344,13.965574705916,93637518.31198002
352,2017-07-11,1322671071.497265,14.1206484557571,93669286.90573
353,2017-07-12,1758533764.4452617,18.7672328344355,93702347.06198
354,2017-07-13,1662569502.163808,17.737162191756,93733680.96823001
355,2017-07-14,1590872684.0299048,16.9665116663652,93765454.87448001
356,2017-07-15,1387045939.164445,14.787797162620599,93796657.06197998
357,2017-07-16,1309720133.752909,13.958662594398,93828482.84323
358,2017-07-17,1416372607.483565,15.090263359728699,93860032.37448001
359,2017-07-18,1478285971.394509,15.744600132922098,93891617.37448002
360,2017-07-19,1334433560.1934214,14.2079198501059,93921810.81197998
361,2017-07-20,1509063690.6879032,16.061881162684802,93953110.18697996
362,2017-07-21,1502002962.498216,15.9813603867557,93984675.03073
363,2017-07-22,1567018595.3659873,16.667553716082598,94016111.90573
364,2017-07-23,1516188594.6199787,16.1215310871938,94047431.74947996
365,2017-07-24,1499260233.6807106,15.936258067519601,94078561.43697998
366,2017-07-25,1372317326.9828207,14.5819758629703,94110519.71823002
367,2017-07-26,1378569088.7821453,14.6434797762761,94142178.62448001
368,2017-07-27,1364475838.2238197,14.4889508988236,94173542.84322998
369,2017-07-28,1311198631.2321002,13.918511530609301,94205377.37447998
370,2017-07-29,1345891387.6103735,14.282018865027098,94236774.24948002
371,2017-07-30,1298191881.0663292,13.771233744606901,94268378.93698
372,2017-07-31,1300263443.4999006,13.78854070396,94300294.09323
373,2017-08-01,1373948588.9599895,14.5651061508093,94331519.09323002
374,2017-08-02,1365123439.6040792,14.4666459885759,94363506.28073
375,2017-08-03,1439469199.2686312,15.2493881965275,94395209.87448
376,2017-08-04,1401342238.2870104,14.8405422622081,94426619.56198001
377,2017-08-05,1465423764.5874496,15.514052694100098,94457830.81198
378,2017-08-06,1460741889.4494076,15.459374613786599,94489067.37448
379,2017-08-07,1438884826.598888,15.223001853005199,94520439.56198002
380,2017-08-08,1513906537.6782417,16.0114348394031,94551584.71823001
381,2017-08-09,1452019578.761957,15.351753393400399,94583305.34322998
382,2017-08-10,1452217937.6512153,15.348779827303,94614552.68698
383,2017-08-11,1438683751.3727558,15.2006771562994,94646030.34322998
384,2017-08-12,1391581672.0985048,14.6981708148033,94677200.96823
385,2017-08-13,1340632532.3054366,14.155378539918699,94708349.09323001
386,2017-08-14,1329957566.7163885,14.038015529314599,94739713.31198001
387,2017-08-15,1275539526.7946842,13.459126424375999,94771345.96823
388,2017-08-16,1326784310.7737827,13.995246914662001,94802493.93698002
389,2017-08-17,1310819249.317954,13.822235139635199,94834101.43698001
390,2017-08-18,1274196763.999932,13.431580266632599,94865737.21823002
391,2017-08-19,1283163465.7788641,13.521613831784999,94897212.84323002
392,2017-08-20,1314291021.9757283,13.844976468474698,94929090.34323001
393,2017-08-21,1403748201.4034412,14.782552254414199,94959799.71822996
394,2017-08-22,1365397625.1465485,14.373848164258002,94991794.09323002
395,2017-08-23,1460522815.2494109,15.370077700773198,95023775.65573001
396,2017-08-24,1438697016.5573895,15.1353706048995,95055288.31198002
