,Date,Market Cap (USD),Price (USD),Number of Coins
4,2017-07-01,628889.7690923319,0.090141503683723,6976694.900707447
5,2017-07-02,866668.8099008014,0.100819811372589,8596215.34797309
6,2017-07-03,941126.9044298505,0.0972194871118194,9680434.78101659
7,2017-07-04,781841.5806657901,0.0781468355601695,10004775.945966586
8,2017-07-05,1178105.979148409,0.0873340283485821,13489655.76677806
9,2017-07-06,2535316.258404145,0.13848398990073002,18307648.849672407
10,2017-07-07,2048257.855493289,0.0936629545250672,21868388.26384779
11,2017-07-08,1868675.9437516313,0.0761651071713431,24534540.988011833
12,2017-07-09,1434877.7962790588,0.0532323695696318,26954986.371631164
13,2017-07-10,2092757.0616625487,0.0763449456633698,27411861.302386787
14,2017-07-11,1047254.6843790158,0.0373218486423834,28060096.765671287
15,2017-07-12,1178573.9358090942,0.0409877912809167,28754268.014383603
16,2017-07-13,1556023.914306478,0.0452550633669749,34383421.40168108
17,2017-07-14,2266096.1994330646,0.0464088664130918,48828949.60765096
18,2017-07-15,2385137.7380126608,0.0420613216074062,56706200.539183326
19,2017-07-16,13624192.100218467,0.0612887349582631,222295208.2384533
20,2017-07-17,18065328.58574824,0.0812672874458445,222295208.23845327
21,2017-07-18,9107529.708779123,0.0409704274822226,222295208.2384533
22,2017-07-19,11848159.677464956,0.0532992131110428,222295208.23845324
23,2017-07-20,12341966.23071259,0.0555206130105761,222295208.23845324
24,2017-07-21,11708434.372725474,0.0526706556812776,222295208.23845324
25,2017-07-22,15419095.576496651,0.0693631486647107,222295208.23845318
26,2017-07-23,11420711.748197451,0.0513763289757762,222295208.23845327
27,2017-07-24,11582258.925453583,0.0521030525904519,222295208.23845318
28,2017-07-25,9758368.795116058,0.0438982417679844,222295208.2384532
29,2017-07-26,10037795.011166835,0.0451552468931288,222295208.2384532
30,2017-07-27,9206913.136895187,0.0414175060715616,222295208.23845327
31,2017-07-28,7503689.803702519,0.0337555175532772,222295208.23845324
32,2017-07-29,8568388.932153335,0.0385450905579671,222295208.23845324
33,2017-07-30,9378781.262868928,0.042190658706455,222295208.23845333
34,2017-07-31,8456530.557995189,0.0380418931429416,222295208.2384532
35,2017-08-01,8970911.440920463,0.0403558471278314,222295208.23845318
36,2017-08-02,9160939.881910542,0.0412106943487676,222295208.23845327
37,2017-08-03,8848731.227872714,0.0398062166881294,222295208.23845318
38,2017-08-04,10196773.97865562,0.04587041735833401,222295208.23845324
39,2017-08-05,14087167.522659183,0.0633714403215928,222295208.23845324
40,2017-08-06,20394584.446696565,0.09174549738750801,222295208.2384533
41,2017-08-07,37652239.052596696,0.169379445247455,222295208.23845324
42,2017-08-08,36722590.68114192,0.165197401114243,222295208.23845315
43,2017-08-09,38030265.42454917,0.171080005394244,222295208.2384532
44,2017-08-10,48446848.62387551,0.21793923948152397,222295208.2384533
45,2017-08-11,102097994.07242766,0.459290125421455,222295208.2384533
46,2017-08-12,309340014.04777014,1.39157301904567,222295208.23845312
47,2017-08-13,165703996.07579696,0.745423157740982,222295208.23845324
48,2017-08-14,164923664.54335502,0.7419128187704499,222295208.2384533
49,2017-08-15,153518748.9073128,0.6906075489609079,222295208.23845324
50,2017-08-16,211574206.32327294,0.9517713314644191,222295208.23845324
51,2017-08-17,259559426.34718597,1.16763392429386,222295208.23845324
52,2017-08-18,258530612.94005316,1.16300578401461,222295208.23845312
53,2017-08-19,259063486.2030343,1.1654029263876002,222295208.23845318
54,2017-08-20,255646563.05294845,1.1500318206531899,222295208.23845333
55,2017-08-21,237045955.5507848,1.06635656894821,222295208.23845318
56,2017-08-22,221538014.8534965,0.9965937485069649,222295208.23845327
