,Date,Market Cap (USD),Price (USD),Number of Coins
275,2016-07-01,209037080.43772992,0.0020489384214011303,102022139003.46678
276,2016-07-02,207529570.85745022,0.00203416212289372,102022139003.46681
277,2016-07-03,200264005.7011115,0.00196294654922209,102022139003.46678
278,2016-07-04,196060368.5797832,0.0019217433636940398,102022139003.46681
279,2016-07-05,188945787.5770208,0.0018520077056079,102022139003.4668
280,2016-07-06,189312912.63401955,0.0018556061898250002,102022139003.4668
281,2016-07-07,181887017.78410146,0.00178281909750903,102022139003.46678
282,2016-07-08,190623161.15762317,0.00186844897607122,102022139003.46678
283,2016-07-09,181160364.50869513,0.0017756965917225,102022139003.4668
284,2016-07-10,186686119.97069952,0.0018298589089997,102022139003.46681
285,2016-07-11,183087414.3525253,0.00179458513750926,102022139003.4668
286,2016-07-12,200901489.7079149,0.0019691950361978602,102022139003.46678
287,2016-07-13,218945027.0298913,0.0021460540738363803,102022139003.46677
288,2016-07-14,208458121.7576969,0.0020432635876279103,102022139003.46678
289,2016-07-15,202277888.1581764,0.0019826862104048103,102022139003.46681
290,2016-07-16,201143924.2254186,0.0019715713294208,102022139003.46674
291,2016-07-17,196114514.8217137,0.00192227409400865,102022139003.4668
292,2016-07-18,203552952.84474728,0.0019951841319248396,102022139003.46683
293,2016-07-19,195109060.08306816,0.0019124188336850899,102022139003.46684
294,2016-07-20,191487211.183469,0.00187691821651536,102022139003.46677
295,2016-07-21,191219223.8266714,0.00187429145962303,102022139003.46677
296,2016-07-22,188643646.50333664,0.00184904618101495,102022139003.46678
297,2016-07-23,220504878.25658846,0.00216134341438475,102022139003.46677
298,2016-07-24,232985440.9473142,0.0022836753201126,102022139003.4668
299,2016-07-25,222107418.81432697,0.0021770511869661897,102022139003.4668
300,2016-07-26,197182510.91467258,0.00193274237180983,102022139003.4668
301,2016-07-27,195376088.74928162,0.00191503619368971,102022139003.46683
302,2016-07-28,198398827.8943652,0.00194466446040328,102022139003.4668
303,2016-07-29,205260354.35428149,0.00201038599252738,102099972401.93463
304,2016-07-30,197614416.66202605,0.001935499217219,102099972401.93466
305,2016-07-31,195422515.56527948,0.0019140310322118801,102099972401.93466
306,2016-08-01,192684710.70722076,0.0018872160900169801,102099972401.9347
307,2016-08-02,173001487.9480039,0.0016944322694520699,102099972401.93468
308,2016-08-03,184504631.9003977,0.0018070977646699302,102099972401.93466
309,2016-08-04,194836142.04624063,0.0019082879011880001,102099972401.93466
310,2016-08-05,196552711.4032192,0.0019251005341064601,102099972401.93463
311,2016-08-06,198979081.74850276,0.0019488651864193103,102099972401.93463
312,2016-08-07,194581675.56869948,0.00190579557458345,102099972401.93466
313,2016-08-08,188648610.41356164,0.00184768522434965,102099972401.93463
